#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
#UniverseMachine Version: 1.0
#Columns:
#ID: Unique halo ID
#DescID: ID of descendant halo (or -1 at z=0).
#UPID: -1 for central halos, otherwise, ID of largest parent halo
#Flags: Ignore
#Uparent_Dist: Ignore
#X Y Z: halo position (comoving Mpc/h)
#VX VY VZ: halo velocity (physical peculiar km/s)
#M: Halo mass (Bryan & Norman 1998 virial mass, Msun)
#V: Halo vmax (physical km/s)
#MP: Halo peak historical mass (BN98 vir, Msun)
#VMP: Halo vmax at the time when peak mass was reached.
#R: Halo radius (BN98 vir, comoving kpc/h)
#Rank1: halo rank in Delta_vmax (see UniverseMachine paper)
#Rank2, RA, RARank: Ignore
#SM: True stellar mass (Msun)
#ICL: True intracluster stellar mass (Msun)
#SFR: True star formation rate (Msun/yr)
#Obs_SM: observed stellar mass, including random & systematic errors (Msun)
#Obs_SFR: observed SFR, including random & systematic errors (Msun/yr)
#SSFR: observed SSFR
#SMHM: SM/HM ratio
#Obs_UV: Observed UV Magnitude (M_1500 AB)
#h = 0.680000
#Omega_Matter = 0.307115
#Omega_Lambda = 0.692885
#Box size: 250.000000 Mpc/h
#Note: all halo masses converted to be in Msun, not Msun/h.
#ID DescID UPID Flags Uparent_Dist X Y Z VX VY VZ M V MP VMP R Rank1 Rank2 RA RARank SM ICL SFR obs_SM obs_SFR SSFR SM/HM obs_UV
573 10389 -1 131 2.000000 117.610947 2.090680 63.331200 71.849998 143.929993 -120.720001 2.735e+09 92.709999 2.735e+09 92.709999 30.834000 -0.647449 -5.612001 -0.100975 -0.100975 1.739e-04 0.000e+00 9.657e-13 1.936e-04 9.173e-13 4.737e-09 6.356e-14 11.746
5293 10572 -1 131 2.000000 125.173767 30.195570 227.872253 -165.639999 -62.900002 201.119995 1.824e+09 62.119999 1.824e+09 62.119999 26.936001 -0.650552 -5.612001 -0.053973 -0.053973 1.005e+01 0.000e+00 5.581e-08 1.119e+01 5.302e-08 4.737e-09 5.511e-09 -0.159
979 10496 -1 131 2.000000 122.951820 47.765339 118.672569 -29.610001 89.230003 -91.290001 9.116e+08 49.860001 9.116e+08 49.860001 21.379000 -0.561715 0.019196 -1.302047 -1.302047 1.913e+03 0.000e+00 1.063e-05 2.131e+03 1.009e-05 4.737e-09 2.098e-06 -5.857
983 10506 -1 131 2.000000 122.698578 48.077740 118.586983 92.889999 79.940002 -123.000000 9.116e+08 49.070000 9.116e+08 49.070000 21.379000 -0.472434 0.020200 -0.989501 -0.989501 3.694e+03 0.000e+00 2.052e-05 3.800e+02 1.949e-05 5.130e-08 4.053e-06 -6.572
1863 10805 -1 131 2.000000 107.634811 103.587379 240.296432 -32.669998 -7.230000 110.139999 1.367e+09 64.410004 1.367e+09 64.410004 24.473000 -0.424127 -5.612001 -0.569803 -0.569803 2.884e+00 0.000e+00 1.602e-08 3.212e+00 1.522e-08 4.737e-09 2.109e-09 1.197
2884 10866 -1 131 2.000000 120.269257 125.699371 115.251648 -45.400002 -163.149994 -80.720001 3.418e+09 75.349998 3.418e+09 75.349998 33.214001 -0.070670 -5.612001 1.303843 1.303843 1.429e-01 0.000e+00 7.935e-10 1.591e-01 7.538e-10 4.737e-09 4.180e-11 4.459
1080 10871 -1 131 2.000000 121.576241 124.072327 113.960251 -159.270004 -77.519997 -32.700001 1.139e+09 58.400002 1.139e+09 58.400002 23.030001 -1.390344 0.056167 -1.516094 -1.516094 1.750e+01 0.000e+00 9.721e-08 1.800e+00 9.234e-08 5.130e-08 1.536e-08 -0.761
2879 10894 -1 131 2.000000 116.525543 125.441299 110.899277 -11.120000 -16.209999 142.320007 1.824e+09 60.389999 1.824e+09 60.389999 26.936001 -1.102499 0.007300 1.092473 1.092473 3.920e+01 0.000e+00 2.178e-07 3.735e+01 2.069e-07 5.539e-09 2.150e-08 -1.637
6026 10829 -1 131 2.000000 127.240913 142.530518 71.554520 -104.370003 -44.549999 76.430000 4.557e+08 45.990002 4.557e+08 45.990002 16.968000 -0.179279 -5.612001 0.435995 0.435995 5.761e+04 0.000e+00 3.200e-04 6.417e+04 3.040e-04 4.737e-09 1.264e-04 -9.553
2433 10975 -1 131 2.000000 115.366608 171.672134 62.761520 -90.820000 -22.290001 38.639999 2.279e+09 69.830002 2.279e+09 69.830002 29.016001 0.277753 -5.612001 0.549569 0.549569 7.834e-01 0.000e+00 4.351e-09 8.726e-01 4.133e-09 4.737e-09 3.437e-10 2.612
3729 11263 -1 131 2.000000 137.858932 16.153549 38.130409 33.709999 -153.039993 -71.139999 1.367e+09 56.490002 1.367e+09 56.490002 24.473000 -1.474591 -5.612001 1.617492 1.617492 3.025e+02 0.000e+00 1.680e-06 3.370e+02 1.596e-06 4.737e-09 2.212e-07 -3.855
